,frequency
Libyan Arab Jamahiriya,18
Saudi Arabia,18
Djibouti,18
Nauru,18
Sao Tome and Principe,17
Bolivia,17
Switzerland,17
Somalia,17
Tuvalu,17
Tonga,17
Holy See,16
Kiribati,15
Timor-Leste,15
Venezuela ,14
Montenegro,13
Venezuela,13
Serbia,12
European Union,11
Bolivia ,10
Palestine,9
"George Walker), 1946- ",8
European Council,7
South Sudan,7
Libya,7
Côte d'Ivoire,5
Cabo Verde,5
Zaire,5
State of Palestine,5
Igor' Sergeevich) ,5
Serbia and Montenegro,4
Benjamin William) ,4
Palestinian Authority,4
Leonid Danylovych) ,3
Portillo Cabrera) ,3
PLO,3
INTERPOL,2
African Union,2
Community of Latin American and Caribbean States,2
European Communities,2
South Pacific Forum,2
Organizatsiia Dogovora o kollektivnoi bezopasnosti,2
Yugoslavia,2
Czechia,2
Sistema de la Integración Centroamericana,2
OAU,2
Evgenii Maksimovich) ,2
International Federation of Red Cross and Red Crescent Societies,1
World Trade Organization,1
Bert) ,1
Organization of the Islamic Conference,1
Caribbean Community,1
Gulf Cooperation Council,1
Alliance of Small Island States,1
ASEAN,1
Group of 77,1
League of Arab States,1
Girija Prasad) ,1
UNASUR,1
McKinsey and Company,1
Group of Landlocked Developing Countries,1
IBRD,1
IMF,1
Council of Europe,1
Czechoslovakia,1
Kazakstan,1
Groupe des Pays francophones auprès des Nations Unies,1
New Zealand Drug Foundation,1
FORUT Solidaritetsaksjon for utvikling ,1
Peter Lesa) ,1
OAS,1
Organization for Security and Co-operation in Europe,1
Rio Group,1
Inter-Parliamentary Union,1
India HIV/AIDS Alliance,1
European Commission,1
Transitional National Council ,1
Irma E,1
Associação ProCoalizões Comunitárias Antidrogas do Brasil,1
Kenya Hospice and Palliative Care Association,1
Coordinating Bureau of the Non-Aligned Countries,1
Coordinating Bureau of the Least Developed Countries,1
Economic Cooperation Organization,1
Social Watch,1
World Customs Organization,1
